ID,TDU,REP,PRODUCT,KWH500,KWH1000,KWH2000,RATE_TYPE,TERM_LENGTH,RENEWABLE,PREPAID,TOU,PROMOTION,EFL_URL
11431,AEP TEXAS NORTH DIVISION,INFUSE ENERGY LLC,PTC True Blue Infusion 6,12.4,5.6,9.3,Fixed,6,10,FALSE,FALSE,FALSE,https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201705/EFL-20170505-092854-PTC%20True%20Blue%20Infusion%206%20(English).pdf
11436,AEP TEXAS NORTH DIVISION,INFUSE ENERGY LLC,PTC True Blue Infusion 36,11.3,10.1,9.5,Fixed,36,10,FALSE,FALSE,FALSE,https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201705/EFL-20170505-092854-PTC%20True%20Blue%20Infusion%2036%20(English).pdf
11400,AEP TEXAS NORTH DIVISION,FIRST CHOICE POWER ,Texas Power Savings 12,10.6,9.1,8.3,Fixed,12,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FFNRXEX0040_ENG_20170502.PDF
11424,AEP TEXAS NORTH DIVISION,INFUSE ENERGY LLC,PTC True Blue Infusion 9,11.4,8.2,8.6,Fixed,9,10,FALSE,FALSE,FALSE,https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201705/EFL-20170505-092854-PTC%20True%20Blue%20Infusion%209%20(English).pdf
11385,AEP TEXAS NORTH DIVISION,TRIEAGLE ENERGY LP,Green Eagle 24,9.5,9,8.7,Fixed,24,100,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-G-24mo.pdf
11358,AEP TEXAS NORTH DIVISION,TRIEAGLE ENERGY LP,SMART Energy 24,10.2,9.7,9.4,Fixed,24,6,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-WBH-24mo.pdf
11178,AEP TEXAS NORTH DIVISION,GEXA ENERGY,EveryDay | EveryNight 24,13.2,10.1,9.6,Fixed,24,6,FALSE,FALSE,FALSE,http://www.gexaenergy.com/UI/Handlers/DynamicRatePdf.ashx?pdfid=39696&rkey=13600|2020|1001|19662
11329,AEP TEXAS NORTH DIVISION,IGS ENERGY,Low Web-Only 12 Month Offer,10.8,9.4,9.4,Fixed,12,0,FALSE,FALSE,FALSE,https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTNC12FIXED09PP00RPROMO1Web-Only
11261,AEP TEXAS NORTH DIVISION,FIRST CHOICE POWER ,Monthly Freedom Plan,11.7,10.2,9.4,Variable,0,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=VFNRXXX0071_ENG_20170502.PDF
11255,AEP TEXAS NORTH DIVISION,FIRST CHOICE POWER ,You Got This 24,10.9,9.4,8.6,Fixed,24,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FFNRXXX0214_ENG_20170502.PDF
11249,AEP TEXAS NORTH DIVISION,FIRST CHOICE POWER ,You Got This 12,11.1,9.6,8.8,Fixed,12,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FFNRXXX0213_ENG_20170502.PDF
11243,AEP TEXAS NORTH DIVISION,FIRST CHOICE POWER ,You Got This E-Plan 3,10.7,9.2,8.4,Fixed,3,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FFNRXEX0039_ENG_20170502.PDF
11237,AEP TEXAS NORTH DIVISION,DIRECT ENERGY,Bright Choice,11.7,10.2,9.4,Variable,1,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=VDNRXXX0184_ENG_20170502.PDF
11224,AEP TEXAS NORTH DIVISION,DIRECT ENERGY,Live Brighter 12,11.1,9.6,8.8,Fixed,12,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXX1267_ENG_20170502.PDF
11131,AEP TEXAS NORTH DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,12.9,9.9,9.4,Fixed,24,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-24-nongreen-tree.pdf
11116,AEP TEXAS NORTH DIVISION,TXU ENERGY,TXU Energy Saver's Deal 12,14.4,12.4,8.5,Fixed,12,6,FALSE,FALSE,FALSE,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TNX30SAVDL12AD&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTNC
11039,AEP TEXAS NORTH DIVISION,DIRECT ENERGY,Veteran and Active Military 24,10.7,9.2,8.4,Fixed,24,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXX1273_ENG_20170502.PDF
11033,AEP TEXAS NORTH DIVISION,DIRECT ENERGY,Veteran and Active Military 12,10.7,9.2,8.4,Fixed,12,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDNRXXX1272_ENG_20170502.PDF
10797,AEP TEXAS NORTH DIVISION,AMIGO ENERGY,Basics 12 ,10.7,9.7,9.1,Fixed,12,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F48485_3698742.pdf
10831,AEP TEXAS NORTH DIVISION,DISCOUNT POWER,Prime - 12,12.7,5.9,9.1,Fixed,12,12,FALSE,FALSE,FALSE,https://signup.discountpowertx.com/PDFDocs/PR12J28171-454002.pdf
10769,AEP TEXAS NORTH DIVISION,CIRRO ENERGY,Smart Lock 6,12.2,10.2,8.6,Fixed,6,5,FALSE,FALSE,FALSE,https://signup.cirroenergy.com/files/0901751881336279.pdf
10773,AEP TEXAS NORTH DIVISION,CIRRO ENERGY,Smart Lock 12,12.6,10.6,9,Fixed,12,5,FALSE,FALSE,FALSE,https://signup.cirroenergy.com/files/09017518812c4997.pdf
10774,AEP TEXAS NORTH DIVISION,CIRRO ENERGY,Smart Lock 24,12.5,10.5,8.9,Fixed,24,5,FALSE,FALSE,FALSE,https://signup.cirroenergy.com/files/09017518812c49b5.pdf
10751,AEP TEXAS NORTH DIVISION,CIRRO ENERGY,Smart Lock 100% Wind 12,13.2,10.2,9.6,Fixed,12,100,FALSE,FALSE,FALSE,https://signup.cirroenergy.com/files/09017518812c4989.pdf
10626,AEP TEXAS NORTH DIVISION,AMIGO ENERGY,Amigo Essentials 36 Month,12,7.7,7.6,Fixed,36,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F48140_3698742.pdf
10415,AEP TEXAS NORTH DIVISION,DISCOUNT POWER,Saver - NO GIMMICKS - 12,9,8.8,8.7,Fixed,12,12,FALSE,FALSE,FALSE,https://signup.discountpowertx.com/PDFDocs/SA12J05171-442436.pdf
10416,AEP TEXAS NORTH DIVISION,DISCOUNT POWER,Saver - NO GIMMICKS - 18,9,8.8,8.7,Fixed,18,12,FALSE,FALSE,FALSE,https://signup.discountpowertx.com/PDFDocs/SA18J05171-442454.pdf
10417,AEP TEXAS NORTH DIVISION,DISCOUNT POWER,Saver - NO GIMMICKS - 24,8.9,8.7,8.6,Fixed,24,12,FALSE,FALSE,FALSE,https://signup.discountpowertx.com/PDFDocs/SA24J05171-442455.pdf
9948,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant PetLovers 6 Month,14.7,11.4,10.9,Fixed,6,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BPL/6/P0000/EN
9949,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant PetLovers 12 Month,14.4,11.1,10.6,Fixed,12,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BPL/12/P0000/EN
9950,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant PetLovers 24 Month,14.6,11.3,10.8,Fixed,24,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BPL/24/P0000/EN
9951,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant PetLovers 36 Month,14.8,11.5,11,Fixed,36,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BPL/36/P0000/EN
9758,AEP TEXAS NORTH DIVISION,BOUNCE ENERGY INC,Amazing 18,11.6,10.1,9.3,Fixed,18,10,FALSE,FALSE,FALSE,http://www.bounceenergy.com/efls/amazing18-050217.pdf
9837,AEP TEXAS NORTH DIVISION,RELIANT,Reliant Secure Advantage 12,13.5,10.5,9.9,Fixed,12,5,FALSE,FALSE,FALSE,https://www.reliant.com/files/09017518812aa7b2.pdf
9644,AEP TEXAS NORTH DIVISION,ENTRUST ENERGY INC,Texas Refresh 24,15.3,14.3,13.7,Fixed,24,100,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXY5F24005_20170425_eng_b097d7a6-c343-4e14-9548-99bb28729144.pdf
9639,AEP TEXAS NORTH DIVISION,ENTRUST ENERGY INC,Entrust 24,14.8,13.8,13.2,Fixed,24,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN5F24019_20170425_eng_2fc1ce43-652b-4db0-ba60-27cc75eb8081.pdf
9272,AEP TEXAS NORTH DIVISION,TARA ENERGY,Tara Energy Simplicity 24,12.4,8.1,8,Fixed,24,11,FALSE,FALSE,FALSE,https://webs.taraenergy.com/EFLPDFS/TE_Res_EFL_F39011_3698847.pdf
8788,AEP TEXAS NORTH DIVISION,GEXA ENERGY,EveryDay EveryNight Low Price Plan,13.5,10.4,9.9,Fixed,12,6,FALSE,FALSE,FALSE,http://www.gexaenergy.com/UI/Handlers/DynamicRatePdf.ashx?pdfid=39694&rkey=13600|2020|1001|19661
8866,AEP TEXAS NORTH DIVISION,TRIEAGLE ENERGY LP,SMART Energy 12,10.1,9.6,9.3,Fixed,12,6,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-WBH-12mo.pdf
8868,AEP TEXAS NORTH DIVISION,TRIEAGLE ENERGY LP,SMART Energy 36,9.5,9,8.7,Fixed,36,6,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-WBH-36mo.pdf
7794,AEP TEXAS NORTH DIVISION,HINO ELECTRIC POWER COMPANY,DollarSave Pre-Paid ,8.9,8.9,8.9,Variable,0,0,TRUE,FALSE,FALSE,https://signup.hinoelectric.com/PDFDocs/EFL_24022016113237.pdf
8389,AEP TEXAS NORTH DIVISION,TXU ENERGY,TXU Energy Smart Edge 12,13.5,8.5,10.4,Fixed,12,6,FALSE,FALSE,FALSE,http://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TNX30SMTED12AE&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTNC
7014,AEP TEXAS NORTH DIVISION,WTU RETAIL ENERGY ,The Liberty Plan,11.7,10.2,9.4,Variable,0,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=VWNRXXX0088_ENG_20170502.PDF
7015,AEP TEXAS NORTH DIVISION,WTU RETAIL ENERGY ,Price Protection Plan 24,11.2,9.7,8.9,Fixed,24,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FWNRXXX0219_ENG_20170502.PDF
7016,AEP TEXAS NORTH DIVISION,WTU RETAIL ENERGY ,Price Protection Plan 12,11.1,9.6,8.8,Fixed,12,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FWNRXXX0218_ENG_20170502.PDF
6637,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant Green 36 Month,15.1,11.8,11.3,Fixed,36,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/36/P0000/EN
6618,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant Green 24 Month,14.9,11.6,11.1,Fixed,24,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/24/P0000/EN
6600,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant Green 12 Month,14.7,11.4,10.9,Fixed,12,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/12/P0000/EN
6590,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant Green 6 Month,15,11.7,11.2,Fixed,6,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/6/P0000/EN
6580,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant AutoSave 36 Month,14.4,11.1,10.6,Fixed,36,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/36/P0000/EN
6570,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant AutoSave 24 Month,14.2,10.9,10.4,Fixed,24,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/24/P0000/EN
6562,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant AutoSave 12 Month,14,10.7,10.2,Fixed,12,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/12/P0000/EN
6549,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant AutoSave 6 Month,14.3,11,10.5,Fixed,6,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/6/P0000/EN
6470,AEP TEXAS NORTH DIVISION,CHAMPION ENERGY SERVICES LLC,Green Energy-12,10.3,9.3,8.7,Fixed,12,100,FALSE,FALSE,FALSE,https://www.championenergyservices.com/register/efl.aspx?rateID=182&term=12182
6460,AEP TEXAS NORTH DIVISION,CHAMPION ENERGY SERVICES LLC,Champ Saver-24,10.7,9.7,9.1,Fixed,24,13,FALSE,FALSE,FALSE,https://www.championenergyservices.com/register/efl.aspx?rateID=186&term=24186
6455,AEP TEXAS NORTH DIVISION,CHAMPION ENERGY SERVICES LLC,Champ Saver-12,10,9,8.4,Fixed,12,13,FALSE,FALSE,FALSE,https://www.championenergyservices.com/register/efl.aspx?rateID=181&term=12181
6068,AEP TEXAS NORTH DIVISION,GEXA ENERGY,Gexa Green 12,14.7,11.6,11.1,Fixed,12,100,FALSE,FALSE,FALSE,http://www.gexaenergy.com/UI/Handlers/DynamicRatePdf.ashx?pdfid=39730&rkey=8480|1001|1001|19679
6069,AEP TEXAS NORTH DIVISION,GEXA ENERGY,Gexa 12,14.5,11.4,10.9,Fixed,12,6,FALSE,FALSE,FALSE,http://www.gexaenergy.com/UI/Handlers/DynamicRatePdf.ashx?pdfid=39708&rkey=8480|1320|1001|19668
6165,AEP TEXAS NORTH DIVISION,SUMMER ENERGY LLC,12 Months Texas Summer Savings Product ,13,10.3,9.9,Fixed,12,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL12MPTCSUMRES4M9ALL051117.pdf
6166,AEP TEXAS NORTH DIVISION,SUMMER ENERGY LLC,9 Months Texas Summer Savings Product,13.1,10.4,10.1,Fixed,9,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL9MPTCSUMRES4M9ALL051117.pdf
6167,AEP TEXAS NORTH DIVISION,SUMMER ENERGY LLC,6 Months Texas Summer Savings Product,13.6,10.9,10.5,Fixed,6,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL6MPTCSUMRES4M9ALL051117.pdf
6168,AEP TEXAS NORTH DIVISION,SUMMER ENERGY LLC,3 Months Texas Summer Savings Product,12.9,10.2,9.9,Fixed,3,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL3MPTCSUMRES4M9ALL051117.pdf
6031,AEP TEXAS NORTH DIVISION,TARA ENERGY,Tara Energy Simplicity 12,12.5,8.2,8.1,Fixed,12,11,FALSE,FALSE,FALSE,https://webs.taraenergy.com/EFLPDFS/TE_Res_EFL_F39006_3698847.pdf
5783,AEP TEXAS NORTH DIVISION,PENNYWISE POWER ,Wise Buy 3,10.4,9.4,8.8,Fixed,3,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/09017518812d4744.pdf
5731,AEP TEXAS NORTH DIVISION,PENNYWISE POWER ,Wise Buy 4,12,10,8.9,Fixed,4,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/0901751881336263.pdf
5443,AEP TEXAS NORTH DIVISION,TXU ENERGY,TXU Energy FlexPower,14,13,12.5,Indexed,0,6,TRUE,FALSE,FALSE,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TNXPREPA0000AI&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTNC
5395,AEP TEXAS NORTH DIVISION,ENTRUST ENERGY INC,Entrust 6,14.9,13.9,13.3,Fixed,6,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN5F6015_20170425_eng_fbeb8e99-426a-44ef-ae05-6fdfc07bfc19.pdf
5390,AEP TEXAS NORTH DIVISION,ENTRUST ENERGY INC,Entrust 3,15.2,14.2,13.6,Fixed,3,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN5F3016_20170425_eng_c19a17a0-9f06-4a65-8ca5-a6938d683714.pdf
5117,AEP TEXAS NORTH DIVISION,ENTRUST ENERGY INC,Entrust Monthly,16.1,15.1,14.5,Variable,0,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN5V1035_20170425_eng_26b40f0d-6196-4de3-804b-87ccc2f80212.pdf
5098,AEP TEXAS NORTH DIVISION,BOUNCE ENERGY INC,Fast Fixed 4,12.8,11.3,10.5,Fixed,4,10,FALSE,FALSE,FALSE,http://www.bounceenergy.com/efls/fastfixed4-050217.pdf
4856,AEP TEXAS NORTH DIVISION,PENNYWISE POWER ,Wise Buy 7,9.5,8.5,7.9,Fixed,7,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/0901751881312ac8.pdf
4859,AEP TEXAS NORTH DIVISION,PENNYWISE POWER ,Wise Buy 12,12.4,9.4,8.8,Fixed,12,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/09017518812c54a9.pdf
4563,AEP TEXAS NORTH DIVISION,ENTRUST ENERGY INC,Entrust 12,14.5,13.5,12.9,Fixed,12,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN5F12033_20170425_eng_fa0616a6-a6a5-4ede-9084-a7bfa36e9ea9.pdf
4564,AEP TEXAS NORTH DIVISION,ENTRUST ENERGY INC,Texas Refresh 12,15,14,13.4,Fixed,12,100,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXY5F12036_20170425_eng_9a963144-fb6a-4d8c-afbb-50a928bec34a.pdf
4685,AEP TEXAS NORTH DIVISION,RELIANT,Reliant Clear Flex Plan,13.5,10.5,9.9,Variable,1,5,FALSE,FALSE,FALSE,https://www.reliant.com/files/09017518812aa7b0.pdf
4436,AEP TEXAS NORTH DIVISION,JUST ENERGY,Power Flex,11.4,10.1,10,Variable,1,11,FALSE,FALSE,TRUE,http://bit.ly/2mVRrcA
4317,AEP TEXAS NORTH DIVISION,YEP,Operation USO AutoPay E-Plan ,13,10,9.5,Fixed,24,12,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-fixed-24-nongreen-uso.pdf
4193,AEP TEXAS NORTH DIVISION,BRILLIANT ENERGY LLC,Brilliant Freedom 6 Month,14.7,11.4,10.9,Fixed,6,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BF/6/P0000/EN
4158,AEP TEXAS NORTH DIVISION,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan,13.7,10.7,10.2,Fixed,36,100,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-36-green.pdf
4147,AEP TEXAS NORTH DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,13.4,10.4,9.9,Fixed,36,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-36-nongreen-tree.pdf
4152,AEP TEXAS NORTH DIVISION,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,13.2,10.2,9.7,Fixed,36,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-36-nongreen.pdf
4139,AEP TEXAS NORTH DIVISION,YEP,Operation USO AutoPay E-plan,13.5,10.5,10,Fixed,36,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-36-nongreen-uso.pdf
4134,AEP TEXAS NORTH DIVISION,YEP,Operation USO AutoPay E-plan,12.7,9.7,9.2,Fixed,12,12,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen-uso.pdf
4119,AEP TEXAS NORTH DIVISION,YEP,Green Earth Autopay E-plan ,13.8,10.8,10.3,Fixed,36,100,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-36-green.pdf
4124,AEP TEXAS NORTH DIVISION,YEP,Operation USO AutoPay E-Plan,11.3,8.3,7.8,Variable,1,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen-uso.pdf
3851,AEP TEXAS NORTH DIVISION,AMIGO ENERGY,Amigo Essentials 24 Month,12,7.7,7.6,Fixed,24,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F5582_3698742.pdf
3457,AEP TEXAS NORTH DIVISION,AMIGO ENERGY,Amigo Essentials 12 Month,12.2,7.9,7.8,Fixed,12,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F5577_3698742.pdf
3251,AEP TEXAS NORTH DIVISION,CHAMPION ENERGY SERVICES LLC,Champ Saver-3,9.3,8.3,7.7,Fixed,3,13,FALSE,FALSE,FALSE,https://www.championenergyservices.com/register/efl.aspx?rateID=179&term=3179
3275,AEP TEXAS NORTH DIVISION,YEP,Autopay E-Plan ,13.3,10.3,9.8,Fixed,36,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-36-nongreen.pdf
3198,AEP TEXAS NORTH DIVISION,TRIEAGLE ENERGY LP,Eagle 36,9.1,8.6,8.3,Fixed,36,6,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-36mo.pdf
3433,AEP TEXAS NORTH DIVISION,IGS ENERGY,Fixed rate for 36 billing cycle(s).,11.4,10,10,Fixed,36,0,FALSE,FALSE,FALSE,https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTNC36FIXED09QQ00RPROMO1
3434,AEP TEXAS NORTH DIVISION,IGS ENERGY,Fixed rate for 36 billing cycle(s).,11.6,10.2,10.2,Fixed,36,100,FALSE,FALSE,FALSE,https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTNC36FIXED09QQ00RGGTXPROMO1
3435,AEP TEXAS NORTH DIVISION,IGS ENERGY,Fixed rate for 12 billing cycle(s).,11.1,9.7,9.7,Fixed,12,0,FALSE,FALSE,FALSE,https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTNC12FIXED09PP00RPROMO1
3436,AEP TEXAS NORTH DIVISION,IGS ENERGY,Fixed rate for 12 billing cycle(s).,10.5,9.1,9.1,Fixed,12,100,FALSE,FALSE,FALSE,https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTNC12FIXED09PP00RGGTXPROMO1
3082,AEP TEXAS NORTH DIVISION,TRIEAGLE ENERGY LP,Green Eagle 12,9.6,9.1,8.8,Fixed,12,100,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-G-12mo.pdf
3070,AEP TEXAS NORTH DIVISION,TRIEAGLE ENERGY LP,Green Eagle 36,9.5,9,8.7,Fixed,36,100,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-G-36mo.pdf
3008,AEP TEXAS NORTH DIVISION,TRIEAGLE ENERGY LP,Eagle 12,9.3,8.8,8.5,Fixed,12,6,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-12mo.pdf
2856,AEP TEXAS NORTH DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,11.2,8.2,7.7,Variable,1,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-flex-pr-nongreen-tree.pdf
2846,AEP TEXAS NORTH DIVISION,AMIGO ENERGY,Amigo Essentials 6 Month,11.8,7.5,7.4,Fixed,6,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F27337_3698741.pdf
2510,AEP TEXAS NORTH DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,12,9,8.5,Fixed,3,12,FALSE,FALSE,FALSE,http://www.southwestpl.com/Docs/swpl-efl-fixed-3-nongreen-tree.pdf
2505,AEP TEXAS NORTH DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,12.8,9.8,9.3,Fixed,6,12,FALSE,FALSE,FALSE,http://www.southwestpl.com/Docs/swpl-efl-fixed-6-nongreen-tree.pdf
2495,AEP TEXAS NORTH DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,12.6,9.6,9.1,Fixed,12,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen-tree.pdf
2500,AEP TEXAS NORTH DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,12.8,9.8,9.3,Fixed,9,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-9-nongreen-tree.pdf
2490,AEP TEXAS NORTH DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,12.9,9.9,9.4,Fixed,18,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-18-nongreen-tree.pdf
2241,AEP TEXAS NORTH DIVISION,YEP,Green Earth Autopay E-plan,13.3,10.3,9.8,Fixed,9,100,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-9-green.pdf
2244,AEP TEXAS NORTH DIVISION,AMBIT ENERGY,Lone Star Select 24 Month Term,12.6,10.4,10.3,Fixed,24,9,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/LSS24MNG24RNG24_531_279_1
2201,AEP TEXAS NORTH DIVISION,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,12.6,9.6,9.1,Fixed,9,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-9-nongreen.pdf
